[2024-11-05 10:42:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:42:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:42:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:42:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:42:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:42:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:42:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:42:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:42:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:42:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:31] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:41] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:43:51] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:44:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:44:01] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:44:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:44:11] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
[2024-11-05 10:44:21] [INFO] Data Exchange (Byte Stream): EnergySource:coal2, power:55.0
